CustomerID,Customer,CustomerCity,CustomerState,CustomerCountry,CustomerZipCode
1,Photolist,Azusa,CA,Iraq,93463
2,Livetube,Turlock,OH,Guyana,61228
3,Browseblab,Dixon,TX,Chile,53997-9156
4,Dabtype,Ventura,VT,Gambia,49482
5,Ntag,Colton,NY,Czech Republic,38673
6,Talane,Desert Hot Springs,TN,Cayman Islands,51498
7,Jetwire,Rancho Cordova,MD,Niger,98788-7714
8,Geba,Soledad,VT,Iran,56918
9,Brainbox,Colfax,OR,Uzbekistan,58303-7317
10,Wikibox,Calabasas,NV,Botswana,48099
11,Yakidoo,East Palo Alto,VT,El Salvador,62206
12,Kanoodle,Rancho Cucamonga,NM,Ethiopia,51274
13,Twinte,Riverside,FL,Dominica,14577
14,Skynoodle,Coachella,IA,Timor-Leste,95750-2004
15,Trupe,Anaheim,CA,Botswana,72256
16,Skimia,Tehama,WA,Cape Verde,91773
17,Wordify,St. Helena,OK,Ascension Island,61341-5607
18,Mudo,Riverside,AR,Malaysia,92579
19,Shuffledrive,Oakland,OR,Malaysia,73798-8281
20,Realbridge,Shasta Lake,RI,Eritrea,73467
21,Buzzster,Lakewood,NH,Falkland Islands (Malvinas),39295-7813
22,Kayveo,Mount Shasta,MT,Costa Rica,61152
23,Demizz,Tracy,SD,Cayman Islands,26386-3702
24,Voomm,Yuba City,IL,Solomon Islands,66351
25,Dynava,Pomona,NJ,Iceland,18332-1622
26,Jabbersphere,Yountville,OH,Brazil,53220
27,Brainfire,Cotati,MA,Dominica,37876
28,Yodoo,Torrance,MI,Cameroon,63400
29,Wordify,Placentia,NV,Kiribati,42744
30,Snaptags,Jackson,WY,Cook Islands,40160
31,Babbleblab,Patterson,IL,Uruguay,05422-9192
32,Skyvu,Moorpark,IN,Cayman Islands,16610
33,Feedfire,Galt,FL,Comoros,27952
34,Omba,Auburn,KY,Timor-Leste,19038
35,Gabvine,Sand City,DE,New Caledonia,63302-4510
36,Geba,Danville,WI,Reunion,38142
37,Photobug,Los Altos,IN,United States of America,08542-2477
38,Gevee,Waterford,WY,Saint Pierre and Miquelon,99209
39,Gigabox,Napa,RI,Western Sahara,03770-8392
