InvoiceID,CustomerID,ProductID,SalesPersonID,DateID,Amount
1,425,89,2,5/10/2014,590.05
2,607,81,0,7/30/2013,576.23
3,853,03,3,7/12/2014,233.59
4,885,82,1,11/9/2013,773.34
5,533,43,1,7/7/2014,763.08
6,179,86,1,5/29/2013,585.67
7,016,47,1,9/30/2013,172.76
8,913,63,3,3/7/2013,725.23
9,632,80,1,2/10/2014,318.56
10,669,14,6,3/4/2014,130.7
11,641,16,5,12/1/2013,558.22
12,239,73,2,6/3/2014,232.34
13,805,17,5,1/18/2013,527.53
14,504,79,4,4/6/2014,531.49
15,948,96,9,2/12/2013,-46.25
16,243,85,6,5/23/2013,179.6
17,847,23,0,10/21/2014,502.52
18,532,37,3,4/30/2014,-40.89
19,133,79,5,2/20/2013,213.85
20,758,03,1,6/4/2014,435.06
21,399,10,4,1/3/2013,508.14
22,707,72,8,1/8/2013,346.52
23,901,18,4,4/22/2014,669.63
24,849,68,0,9/3/2013,395.47
25,582,55,3,6/25/2013,183.08
26,375,45,1,10/9/2014,641.49
27,995,97,7,5/2/2013,265.33
28,467,85,7,10/13/2014,837.4
29,035,30,3,2/8/2014,328.96
30,772,68,0,10/7/2013,96.44
31,768,19,3,4/9/2014,611.92
32,272,35,7,7/14/2014,-43.77
33,865,54,4,9/2/2013,492.89
34,523,55,3,3/20/2014,505.59
35,809,15,2,3/25/2014,340.99
36,996,38,2,11/26/2014,291.41
37,548,14,8,6/7/2013,636.59
38,476,75,7,4/20/2013,629.07
39,908,80,2,4/26/2014,195.4
40,566,80,4,5/5/2014,186.35
41,469,58,7,4/18/2013,261.56
42,046,77,1,7/11/2013,637.1
43,906,01,8,4/28/2013,622.03
44,643,68,0,12/10/2013,454.6
45,807,27,5,5/29/2013,810.14
46,340,65,1,6/3/2013,193.21
47,909,54,5,1/20/2013,839.78
48,829,90,5,2/24/2014,790.83
49,579,24,0,9/29/2013,759.83
50,622,69,7,1/7/2013,626.26
51,284,75,2,12/8/2013,325.11
