CustomerID,Customer,CustomerCity,CustomerState,CustomerCountry,CustomerZipCode
1,Topicware,Apple Valley,WV,Azerbaijan,16321-8352
2,Bluejam,South Pasadena,MO,Åland,04476-5209
3,Dablist,Petaluma,OK,"Congo, Democratic Republic of",06696-8907
4,Wikizz,Willits,MI,Barbados,36206-0292
5,Zazio,Clovis,IL,Canada,41121-4588
6,Youopia,Bellflower,SC,Croatia,50453
7,Quire,Yucaipa,UT,Burundi,82768-1019
8,Flashpoint,Camarillo,IN,United States Virgin Islands,04630
9,Gigabox,Oakland,MI,Algeria,97226
10,Avamm,Newark,CO,Qatar,89696
11,Devshare,El Cajon,RI,Zambia,41154
12,Realfire,Live Oak,TN,Russia,50836-6432
13,Tazzy,Inglewood,DE,Germany,70318
14,Dabvine,West Covina,NH,Mongolia,57457-0638
15,Gabtune,Los Banos,MN,Norway,77275-4672
16,Quinu,Carson,MN,Ghana,86441
17,Eare,Claremont,WI,Ghana,01321-3699
18,Browsebug,Pinole,TN,Barbados,01331
19,Rooxo,Holtville,UT,Finland,23986-6000
20,Photolist,Monrovia,HI,Namibia,03505
21,Reallinks,Anderson,WA,Lithuania,71826
22,Brightbean,Mill Valley,MD,Syria,01459
23,Thoughtstorm,Corning,KS,Hungary,19104
24,Wordtune,Sausalito,NC,New Zealand,91782
25,Yombu,Norco,CT,Macedonia,44479
26,Skippad,Barstow,WI,Micronesia,95510-7727
27,Kamba,Dinuba,IL,Brazil,16432-6084
28,Bubblemix,Hayward,OR,United Kingdom,59331
29,Brainverse,Gardena,VA,Sri Lanka,09971
30,Voomm,San Luis Obispo,KS,Kenya,83310
31,Tagopia,Taft,AK,Norfolk Island,80910
32,Kwimbee,Eureka,NH,Syria,15368-6433
33,JumpXS,Arcata,ID,Samoa,01431
34,Flashspan,Loomis,OH,New Zealand,07151
35,Tagpad,Tustin,MO,Namibia,45222
36,Browsezoom,Kingsburg,AR,Jersey,83377
37,Bubblemix,Petaluma,LA,Nicaragua,83049-1513
38,Buzzshare,Clovis,SC,Guam,57391-6077
39,Fliptune,Cotati,NM,Burkina Faso,23656
40,Dabjam,Newport Beach,PA,Norway,43064-0879
41,Linktype,Placerville,KS,Bahrain,64742
42,Bluejam,South San Francisco,VT,Saint Kitts and Nevis,99089
43,Avamm,Morro Bay,TN,Azerbaijan,27289
44,Jabbersphere,Pinole,NY,Armenia,11236-7355
45,Quatz,Fremont,HI,Åland,53012
46,Shuffledrive,Walnut,NY,Gibraltar,19377-7907
47,Zoombeat,South Lake Tahoe,NE,Guernsey,25166
48,Zooxo,Capitola,SD,Chile,29569-8450
49,Yodoo,Chula Vista,NE,Thailand,35981
50,Edgeblab,Placerville,VA,Paraguay,51561
51,Twiyo,Cloverdale,LA,Costa Rica,38035
52,Thoughtworks,San Juan Bautista,KS,Saint Vincent and the Grenadines,28164
53,Eire,Laguna Hills,ME,Samoa,93936-0705
54,Thoughtstorm,Lynwood,AZ,United Kingdom,19932-6274
55,Zooxo,Calabasas,CA,Nepal,58983
56,Teklist,Millbrae,SC,El Salvador,01620-7411
57,LiveZ,San Luis Obispo,RI,Guam,16168
58,Dynazzy,Clovis,IA,Seychelles,25055-8084
59,Bluezoom,Imperial,NM,Maldives,79412-4933
60,Feedspan,La Habra Heights,TN,Zambia,53571-8357
61,Meezzy,Dublin,OK,"Palestinian Territory, Occupied",68232-4680
62,Jazzy,San Ramon,NE,Mozambique,57550
63,Vinte,Barstow,OR,Belgium,43197
64,Twitternation,Firebaugh,CO,"Korea, South",47675
65,Jamia,Agoura Hills,GA,Turkmenistan,90780-2275
66,Ooba,Dos Palos,OR,Switzerland,89980-7137
67,Skidoo,Santa Ana,PA,Bahrain,25328
68,Edgeblab,Suisun City,FL,Cape Verde,33400-8596
69,Trudoo,Brentwood,ND,Angola,49682
70,Linkbuzz,Anaheim,HI,Costa Rica,72265-4079
71,Camido,Calabasas,NH,Nicaragua,80963
72,Devpulse,Montclair,OK,Turkey,31936
73,Jetwire,Larkspur,ME,Cook Islands,72054
74,Shufflebeat,Mount Shasta,AZ,Uruguay,11300
75,Blogtag,Fullerton,OH,Montenegro,90158
76,Realcube,San Mateo,NC,Poland,82503-2584
77,Meedoo,Cypress,OH,Bouvet Island,72918-7486
78,Skyble,Mount Shasta,CA,Laos,66563
79,Trunyx,Brea,AZ,United States of America,69946-8836
80,Flashpoint,Hidden Hills,LA,Mayotte,71103-9910
81,Oyope,Willits,FL,South Africa,00916
82,Demivee,Huntington Beach,KY,Denmark,35509-1327
83,Browsebug,San Juan Capistrano,TX,Czech Republic,86640-2912
84,Yodel,Etna,MI,Svalbard and Jan Mayen Islands,54029-0734
85,Buzzbean,Danville,MS,Palau,60572
86,Gabcube,Beaumont,AK,Christmas Island,88068
87,Minyx,Marina,OK,Uruguay,40400-4439
88,Yozio,Rocklin,ND,Eritrea,61572
89,Gabspot,Patterson,AK,Andorra,40500-2389
90,Thoughtstorm,Vista,OH,Mauritius,17955
91,Youbridge,Temple City,SC,Romania,24807
92,Shuffledrive,Riverside,CT,Guinea,41816
93,Jetwire,Novato,KY,Kazakhstan,74660-4996
94,JumpXS,Laguna Niguel,ME,Saint Martin,70088-7704
95,Youspan,Laguna Hills,MS,Lithuania,41655
96,Realpoint,San Bruno,NC,Bahrain,27756-7908
97,Centizu,Moreno Valley,IN,Iran,31499-6631
98,Lajo,Lake Elsinore,GA,Turkey,83157-1495
99,Brainbox,Murrieta,NV,Honduras,33278
100,Talane,Blue Lake,SD,Cambodia,06685
101,Minyx,Hillsborough,KY,Italy,32801-6774
102,Livetube,Moraga,GA,Argentina,33830
103,Oyope,Farmersville,OK,Anguilla,38811
104,Plambee,Covina,NE,French Southern Territories,52149-9381
105,Dazzlesphere,South San Francisco,NY,Andorra,06294
106,Tanoodle,Watsonville,ND,Indonesia,26036
107,Gigabox,Newport Beach,MA,Nepal,03484-1211
108,Plambee,Los Banos,OH,Egypt,41100-0352
109,Teklist,Santa Rosa,VA,Cambodia,05405
110,Twitterworks,Santee,IN,Palau,57200
111,Lazzy,Gridley,TN,Uzbekistan,33222
112,Zoonoodle,Vista,TN,Cote d'Ivoire,86789-4284
113,Tavu,Sonoma,NH,Nepal,12227-8225
114,Youopia,Berkeley,NH,British Virgin Islands,53929-5810
115,Kazio,Los Alamitos,SC,United States of America,05351
116,Youspan,Big Bear Lake,KY,Bulgaria,49333-5193
117,Meetz,Brentwood,NV,Bahamas,97326
118,Oodoo,Palos Verdes Estates,MA,Anguilla,26156
119,Zoonder,Los Alamitos,MT,British Indian Ocean Territory,40071-8804
120,Yadel,Cotati,CA,Guinea,75239-5209
121,Gigashots,Brisbane,OR,Martinique,37765
122,Babblestorm,Monterey Park,IA,Philippines,43855
123,Pixonyx,Marysville,IA,Iraq,76892-8729
124,Skippad,Cloverdale,PA,Madagascar,54640-8225
125,Realfire,San Gabriel,VT,Costa Rica,64453-0600
126,Photolist,Sonoma,NE,Indonesia,07236
127,Thoughtmix,Thousand Oaks,WV,Mayotte,19256-5911
128,Yadel,Huron,TN,"Palestinian Territory, Occupied",40253
129,Ntag,Emeryville,VT,Algeria,62161
130,Tagtune,West Covina,WY,New Caledonia,26525
131,Edgeify,Rancho Mirage,WY,Honduras,98303-2348
132,Realmix,Susanville,NJ,Nicaragua,17526-6042
133,Jabberbean,El Centro,TX,Macedonia,76227-2292
134,Jabbertype,Huron,NY,Gibraltar,20593-5828
135,Thoughtsphere,Arroyo Grande,VA,Barbados,51703
136,Tagfeed,Solvang,MA,Uruguay,72071-2964
137,Riffwire,Madera,NY,Dominica,99670
138,Skyble,Galt,ID,Switzerland,84241-3159
139,Divavu,Lake Elsinore,NC,Tajikistan,75581-8290
140,Meezzy,Point Arena,MT,Peru,86382
141,Flipopia,Cloverdale,VA,Albania,04854-3957
142,Kazio,Lakeport,MD,Turkey,18660-0678
143,Fanoodle,Twentynine Palms,IL,South Africa,36262-2953
144,Topicblab,Morgan Hill,MA,Mexico,76547-6487
145,Chatterpoint,Desert Hot Springs,CA,Zambia,94210-5432
146,Aimbo,Half Moon Bay,AZ,British Virgin Islands,38360
147,Youtags,Corcoran,ID,Kyrgyzstan,98103
148,Quamba,Mammoth Lakes,NM,France,46845-9656
149,Trupe,Greenfield,GA,Tunisia,54908
150,Kwideo,Fontana,PA,Benin,44222-6969
151,Kanoodle,Rancho Palos Verdes,VA,Cuba,23472
152,Oodoo,Calistoga,IN,Panama,72937
153,Leenti,Ukiah,AK,Faroe Islands,06035-7227
154,Zoozzy,Patterson,GA,United Arab Emirates,46880
155,Izio,San Bernardino,IL,Botswana,18305
156,Oyoloo,Rocklin,AR,Turks and Caicos Islands,59659
157,Yabox,Parlier,SD,"Korea, North",39794
158,Tanoodle,Rolling Hills,WA,Andorra,88623
159,Rhyzio,Sierra Madre,WY,Macedonia,11106-5192
160,Jaxworks,Big Bear Lake,ME,Haiti,58088
161,Flipopia,Laguna Hills,MD,"Congo, Democratic Republic of",31144-8447
162,Kayveo,Alturas,IA,Bahrain,53431-0651
163,Zooveo,Pleasanton,UT,Suriname,59133
164,Cogidoo,Wheatland,UT,Iraq,96145
165,Jaloo,Lemoore,MS,Rwanda,54522-6371
166,Feedfish,Monte Sereno,UT,Azerbaijan,08517
